244	51.7	49
245	55.5	53.1
246	59.3	57.4
247	63.2	61.8
248	67.2	66.2
249	71.2	70.7
250	75.2	75.1
251	79.2	79.4
252	83.2	83.7
253	87	87.8
254	90.8	91.9
255	94.4	95.8
256	97.8	99.7
257	101	103.4
258	103.9	107
259	106.5	110.5
260	108.9	113.8
261	110.8	117
262	112.5	120
263	113.7	122.8
264	114.5	125.4
265	114.8	127.8
266	114.7	130
267	114.1	132.1
268	113	134
269	111.4	135.7
270	109.3	137.2
271	106.5	138.5
272	103.2	139.7
273	99.3	140.7
274	94.8	141.5
275	89.6	142.1
276	83.8	142.5
277	77.3	142.8
278	70.2	142.9
279	62.3	142.9
280	53.8	142.8
281	44.7	142.6
282	35	142.4
283	24.9	142.2
284	14.3	141.9
285	3.5	141.7
286	-7.4	141.3
287	-18.3	141
288	-29	140.7
289	-39.2	140.4
290	-48.9	140.1
291	-57.9	139.9
292	-65.9	139.7
293	-72.9	139.5
294	-78.8	139.3
295	-83.3	139.2
296	-86.5	139
297	-88.3	138.7
298	-88.5	138.3
299	-87.1	137.7
300	-84	137
301	-79.2	136.2
302	-72.7	135.1
303	-64.7	134
304	-55.5	132.7
305	-45.4	131.3
306	-35.2	129.8
307	-25.6	128.1
308	-17.5	126.4
309	-11.6	124.6
310	-8.6	122.7
311	-9	120.7
312	-12.9	118.7
313	-19.9	116.6
314	-29.3	114.4
315	-40.1	112.3
316	-51.3	110.1
317	-61.7	107.8
318	-70.4	105.5
319	-76.7	103
320	-80.4	100.3
321	-81.4	97.4
322	-79.8	94
323	-75.9	90.2
324	-70.2	85.8
325	-62.9	80.7
326	-54.5	74.8
327	-45.1	68.1
328	-35.3	60.4
329	-25.2	51.7
330	-15.4	41.9
331	-6.5	31.2
332	1.3	19.4
333	7.4	6.8
334	11.6	-6.8
335	13.9	-21
336	14.5	-35.7
337	14	-50.7
338	12.9	-65.7
339	12.1	-80.4
340	12	-94.3
341	12.9	-107.1
342	14.8	-118.1
343	17.4	-126.8
344	20.3	-132.5
345	22.8	-134.6
346	24.6	-132.3
347	25.2	-125.1
348	24.8	-112.4
349	23.3	-94.2
350	21.3	-70.6
351	19.2	-42.7
352	17.2	-11.9
353	15.7	19.4
354	14.4	48.4
355	13.2	72
356	11.6	87.6
357	9.2	93.4
358	5.6	88.5
359	0.9	73.9
360	-4.6	51.6
361	-10.5	24.3
362	-15.8	-4.6
363	-19.9	-32.4
364	-22.4	-56.6
365	-23	-75.6
366	-21.9	-88.5
367	-19.5	-95
368	-16.4	-95.6
369	-13.2	-90.9
370	-10.3	-82.1
