1	0	0
2	0	-0.2
3	-0.1	-0.4
4	-0.1	-0.8
5	-0.1	-1.3
6	-0.1	-1.8
7	-0.1	-2.3
8	-0.1	-2.8
9	-0.1	-3.2
10	-0.1	-3.6
11	-0.1	-3.9
12	-0.1	-4
13	-0.1	-4.1
14	-0.2	-4
15	-0.2	-3.8
16	-0.2	-3.5
17	-0.2	-3.2
18	-0.2	-2.7
19	-0.2	-2.2
20	-0.2	-1.7
21	-0.2	-1.2
22	-0.2	-0.8
23	-0.1	-0.5
24	-0.2	-0.2
25	-0.2	-0.1
26	-0.2	-0.2
27	-0.2	-0.3
28	-0.2	-0.6
29	-0.2	-0.9
30	-0.2	-1.3
31	-0.2	-1.8
32	-0.2	-2.2
33	-0.2	-2.7
34	-0.2	-3.1
35	-0.2	-3.4
36	-0.2	-3.7
37	-0.3	-3.9
38	-0.3	-4
39	-0.3	-3.9
40	-0.3	-3.8
41	-0.3	-3.6
42	-0.3	-3.2
43	-0.3	-2.8
44	-0.3	-2.4
45	-0.3	-1.9
46	-0.3	-1.4
47	-0.3	-1
48	-0.3	-0.6
49	-0.3	-0.4
50	-0.3	-0.2
51	-0.3	-0.2
52	-0.3	-0.3
53	-0.3	-0.5
54	-0.3	-0.8
55	-0.3	-1.2
56	-0.3	-1.6
57	-0.3	-2.1
58	-0.3	-2.5
59	-0.3	-3
60	-0.3	-3.4
61	-0.3	-3.7
62	-0.4	-3.9
63	-0.4	-4.1
64	-0.4	-4.1
65	-0.4	-3.9
66	-0.4	-3.7
67	-0.4	-3.3
68	-0.5	-2.8
69	-0.5	-2.3
70	-0.5	-1.8
71	-0.5	-1.3
72	-0.5	-0.9
73	-0.5	-0.5
74	-0.5	-0.3
75	-0.5	-0.2
76	-0.5	-0.2
77	-0.5	-0.3
78	-0.5	-0.5
79	-0.4	-0.8
80	-0.4	-1.2
81	-0.5	-1.6
82	-0.5	-2.1
83	-0.5	-2.5
84	-0.5	-3
85	-0.5	-3.4
86	-0.5	-3.7
87	-0.5	-3.9
88	-0.5	-4
89	-0.5	-3.9
90	-0.5	-3.8
91	-0.4	-3.5
92	-0.4	-3.1
93	-0.4	-2.6
94	-0.4	-2.2
95	-0.4	-1.7
96	-0.3	-1.3
97	-0.3	-0.9
98	-0.3	-0.6
99	-0.3	-0.4
100	-0.3	-0.3
101	-0.3	-0.3
102	-0.3	-0.4
103	-0.3	-0.6
104	-0.3	-0.8
105	-0.3	-1.2
106	-0.4	-1.5
107	-0.4	-2
108	-0.4	-2.4
109	-0.4	-2.8
110	-0.4	-3.2
111	-0.4	-3.5
112	-0.4	-3.7
113	-0.4	-3.7
114	-0.4	-3.7
115	-0.4	-3.6
116	-0.4	-3.3
117	-0.3	-3
118	-0.3	-2.6
119	-0.3	-2.2
120	-0.3	-1.8
121	-0.2	-1.4
122	-0.2	-1.1
123	-0.2	-0.8
124	-0.2	-0.5
125	-0.2	-0.4
126	-0.2	-0.3
127	-0.2	-0.3
128	-0.2	-0.4
129	-0.2	-0.7
130	-0.2	-1
131	-0.2	-1.3
132	-0.2	-1.8
133	-0.2	-2.2
134	-0.2	-2.7
135	-0.2	-3.1
136	-0.2	-3.4
137	-0.2	-3.6
138	-0.2	-3.7
139	-0.3	-3.7
140	-0.3	-3.6
141	-0.3	-3.3
142	-0.3	-3
143	-0.3	-2.6
144	-0.3	-2.2
145	-0.3	-1.8
146	-0.3	-1.5
147	-0.3	-1.1
148	-0.3	-0.8
149	-0.3	-0.5
150	-0.3	-0.3
151	-0.3	-0.3
152	-0.3	-0.3
153	-0.3	-0.4
154	-0.3	-0.7
155	-0.3	-1
156	-0.3	-1.4
157	-0.3	-1.9
158	-0.3	-2.3
159	-0.3	-2.8
160	-0.3	-3.1
161	-0.3	-3.4
162	-0.3	-3.5
163	-0.3	-3.6
164	-0.3	-3.5
165	-0.3	-3.3
166	-0.3	-3.1
167	-0.3	-2.8
168	-0.3	-2.5
169	-0.3	-2.2
170	-0.3	-1.8
171	-0.3	-1.5
172	-0.3	-1.2
173	-0.3	-0.9
174	-0.3	-0.6
175	-0.3	-0.5
176	-0.3	-0.4
177	-0.3	-0.4
178	-0.3	-0.5
179	-0.3	-0.8
180	-0.3	-1.1
181	-0.2	-1.4
182	-0.2	-1.8
183	-0.2	-2.2
184	-0.2	-2.6
185	-0.2	-2.9
186	-0.2	-3.1
187	-0.2	-3.2
188	-0.2	-3.2
189	-0.2	-3.2
190	-0.2	-3.1
191	-0.2	-3
192	-0.2	-2.8
193	-0.2	-2.6
194	-0.2	-2.3
195	-0.2	-2
196	-0.2	-1.7
197	-0.2	-1.3
198	-0.2	-1
199	-0.2	-0.8
200	-0.2	-0.5
201	-0.2	-0.4
202	-0.1	-0.4
203	-0.1	-0.5
204	-0.1	-0.7
205	-0.1	-1
206	-0.1	-1.3
207	-0.1	-1.7
208	-0.1	-2.1
209	-0.1	-2.4
210	-0.1	-2.7
211	-0.1	-2.9
212	-0.1	-3.1
213	-0.1	-3.2
214	-0.1	-3.2
215	-0.1	-3.1
216	-0.1	-3
217	-0.1	-2.9
218	-0.1	-2.6
219	-0.1	-2.4
220	-0.1	-2
221	-0.1	-1.7
222	-0.1	-1.3
223	-0.1	-1
224	-0.1	-0.7
225	-0.1	-0.5
226	-0.1	-0.4
227	-0.1	-0.5
228	-0.1	-0.6
229	-0.1	-0.8
230	-0.1	-1.1
231	-0.1	-1.5
232	-0.1	-1.9
233	-0.1	-2.2
234	-0.1	-2.5
235	-0.1	-2.7
236	-0.2	-2.9
237	-0.2	-3
